City_ID,City,Country,Description,Max Temp,Lat,Lng,Hotel Name
2,Lawton,US,clear sky,64.87,34.6087,-98.3903,Holiday Inn Express & Suites Lawton-Fort Sill
3,Saint George,US,few clouds,59.34,37.1041,-113.5841,Best Western Plus Abbey Inn
4,Ribeira Grande,PT,overcast clouds,67.86,38.5167,-28.7,Quinta da Meia Eira
8,Rodrigues Alves,BR,broken clouds,73.81,-7.7379999999999995,-72.6509,Pousada Aconchego
10,Puerto Ayora,EC,clear sky,69.19,-0.7393,-90.3518,Finch Bay Galapagos Hotel
15,Rio Grande,BR,clear sky,60.58,-32.035,-52.0986,Hotel Atlântico Rio Grande
16,Mar Del Plata,AR,clear sky,69.82,-38.0023,-57.5575,Gran Hotel Mar del Plata
18,Santa Maria,BR,clear sky,67.68,-29.6842,-53.8069,Hotel Morotin
19,Victoria,HK,clear sky,65.32,22.2855,114.1577,Mini Hotel Central
20,Nouadhibou,MR,overcast clouds,71.69,20.930999999999997,-17.0347,El Medina
23,Pisco,PE,clear sky,64.45,-13.7,-76.2167,Hotel San Isidro Oficial
25,Taltal,CL,broken clouds,60.6,-25.4,-70.4833,Residencial Karime
26,Port Alfred,ZA,light rain,61.41,-33.5906,26.891,The Halyards Hotel
33,Prado,BR,clear sky,72.09,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
36,Kutum,SD,clear sky,59.07,14.2,24.6667,Dibbo areaمنطقة دبو
37,Manjacaze,MZ,overcast clouds,69.17,-24.7117,33.8828,Hotel Gani
38,Ilebo,CD,moderate rain,69.85,-4.3167,20.5833,Hôtel BUMAK
40,Alexandria,EG,clear sky,64.76,31.2156,29.9553,Royal Crown Hotel
45,Cape Town,ZA,clear sky,64.11,-33.9258,18.4232,Southern Sun Waterfront Cape Town
47,East London,ZA,moderate rain,58.39,-33.0153,27.9116,Tu Casa
48,Rawson,AR,overcast clouds,72.82,-43.3002,-65.1023,Hosteria Sampedro
49,Buraydah,SA,clear sky,57.04,26.326,43.975,فندق راحة السلام
54,El Alto,PE,few clouds,63.36,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
56,Florianopolis,BR,scattered clouds,71.35,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
59,Ponta Delgada,PT,broken clouds,68.5,37.7333,-25.6667,Vila Nova Hotel
60,Aswan,EG,clear sky,63.32,24.0934,32.907,Nuba Nile
65,Matamoros,MX,overcast clouds,73.11,25.5333,-103.25,Quinta Belem
66,Busselton,AU,clear sky,70.05,-33.65,115.3333,Observatory Guest House
72,Roi Et,TH,few clouds,67.87,15.75,103.75,ภาคินเซียงกง
77,Siniscola,IT,overcast clouds,58.55,40.5719,9.6922,Hotel Sa Tanca E Bore
78,Cidreira,BR,clear sky,64.83,-30.1811,-50.2056,Hotel Castelo
