City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Sisimiut,GL,66.9395,-53.6735,31.42,84,100,33.8,snow
1,Tasiilaq,GL,65.6145,-37.6368,21.36,61,100,3.02,overcast clouds
2,Lawton,US,34.6087,-98.3903,64.87,32,1,13.8,clear sky
3,Saint George,US,37.1041,-113.5841,59.34,27,12,1.01,few clouds
4,Ribeira Grande,PT,38.5167,-28.7,67.86,82,100,20.2,overcast clouds
5,Show Low,US,34.2542,-110.0298,48.49,74,75,8.05,broken clouds
6,Monrovia,LR,6.3005,-10.7969,80.17,81,4,5.39,light rain
7,Itarema,BR,-2.9248,-39.9167,80.49,78,90,14.29,overcast clouds
8,Rodrigues Alves,BR,-7.738,-72.6509,73.81,92,66,1.7,broken clouds
9,Eucaliptus,BO,-17.5833,-67.5167,55.02,57,100,13.44,overcast clouds
10,Puerto Ayora,EC,-0.7393,-90.3518,69.19,80,4,7.36,clear sky
11,Qaanaaq,GL,77.484,-69.3632,-6.34,69,51,8.59,broken clouds
12,Saint-Georges,GD,12.0564,-61.7485,79.43,84,99,11.18,overcast clouds
13,Georgiyevka,KZ,43.0369,74.7114,30.24,86,0,6.71,mist
14,Rikitea,PF,-23.1203,-134.9692,77.22,78,99,13.96,overcast clouds
15,Rio Grande,BR,-32.035,-52.0986,60.58,68,0,8.34,clear sky
16,Mar Del Plata,AR,-38.0023,-57.5575,69.82,49,0,4.0,clear sky
17,Pucallpa,PE,-8.3791,-74.5539,76.21,84,100,1.77,moderate rain
18,Santa Maria,BR,-29.6842,-53.8069,67.68,54,0,9.93,clear sky
19,Victoria,HK,22.2855,114.1577,65.32,67,0,4.0,clear sky
20,Nouadhibou,MR,20.931,-17.0347,71.69,72,100,14.0,overcast clouds
21,Holsted,DK,55.5109,8.9187,46.74,78,100,13.18,overcast clouds
22,Hithadhoo,MV,-0.6,73.0833,82.13,75,74,17.6,broken clouds
23,Pisco,PE,-13.7,-76.2167,64.45,88,0,14.97,clear sky
24,Carnarvon,AU,-24.8667,113.6333,84.29,35,0,16.4,clear sky
25,Taltal,CL,-25.4,-70.4833,60.6,81,60,2.01,broken clouds
26,Port Alfred,ZA,-33.5906,26.891,61.41,76,74,12.37,light rain
27,Aginskoye,RU,51.1,114.53,-1.98,92,18,4.07,few clouds
28,Upernavik,GL,72.7868,-56.1549,0.43,68,100,8.39,overcast clouds
29,Ler,SS,8.3018,30.1418,73.04,42,4,5.08,clear sky
30,Punta Arenas,CL,-53.15,-70.9167,46.11,75,33,16.08,scattered clouds
31,Nanortalik,GL,60.1432,-45.2371,34.88,87,100,11.65,overcast clouds
32,Iqaluit,CA,63.7506,-68.5145,25.7,73,100,13.0,light snow
33,Prado,BR,-17.3411,-39.2208,72.09,88,7,5.17,clear sky
34,Hami,CN,42.8,93.45,25.29,63,40,2.57,scattered clouds
35,Nizhnyaya Poyma,RU,56.1622,97.1933,24.08,89,100,4.83,overcast clouds
36,Kutum,SD,14.2,24.6667,59.07,24,0,6.67,clear sky
37,Manjacaze,MZ,-24.7117,33.8828,69.17,77,100,10.67,overcast clouds
38,Ilebo,CD,-4.3167,20.5833,69.85,99,100,1.68,moderate rain
39,Cayenne,GF,4.9333,-52.3333,82.09,82,89,3.0,overcast clouds
40,Alexandria,EG,31.2156,29.9553,64.76,71,7,4.38,clear sky
41,Kahramanmaras,TR,38.0,37.0,41.63,86,100,4.79,overcast clouds
42,Iki-Burul,RU,45.8208,44.6472,32.4,89,100,12.06,snow
43,Roald,NO,62.5833,6.1333,47.91,93,75,23.02,shower rain
44,Bay Saint Louis,US,30.3088,-89.33,54.01,93,1,0.0,clear sky
45,Cape Town,ZA,-33.9258,18.4232,64.11,60,0,21.85,clear sky
46,Saskatoon,CA,52.1168,-106.6345,21.18,75,75,11.01,broken clouds
47,East London,ZA,-33.0153,27.9116,58.39,87,100,15.88,moderate rain
48,Rawson,AR,-43.3002,-65.1023,72.82,40,93,24.32,overcast clouds
49,Buraydah,SA,26.326,43.975,57.04,53,0,8.81,clear sky
50,Clyde River,CA,70.4692,-68.5914,17.83,93,90,19.57,light snow
51,Luderitz,NA,-26.6481,15.1594,61.61,72,82,17.47,broken clouds
52,Esil,KZ,51.9556,66.4042,14.31,93,99,7.27,overcast clouds
53,Toora-Khem,RU,52.4675,96.11,12.54,92,100,1.63,overcast clouds
54,El Alto,PE,-4.2714,-81.2147,63.36,86,13,11.52,few clouds
55,Jamestown,US,42.097,-79.2353,32.52,55,75,1.99,broken clouds
56,Florianopolis,BR,-27.6146,-48.5012,71.35,74,40,14.97,scattered clouds
57,Husavik,IS,66.0449,-17.3389,34.07,98,100,39.93,light snow
58,Talcahuano,CL,-36.7167,-73.1167,54.84,94,10,7.87,clear sky
59,Ponta Delgada,PT,37.7333,-25.6667,68.5,94,75,13.8,broken clouds
60,Aswan,EG,24.0934,32.907,63.32,47,0,7.96,clear sky
61,Havelock,US,34.8791,-76.9013,41.94,70,0,6.13,clear sky
62,Adrar,MR,20.5022,-10.0711,74.53,38,76,9.1,broken clouds
63,Sudak,UA,44.85,34.9667,40.23,66,22,13.42,few clouds
64,Kedrovyy,RU,56.1667,91.8167,28.81,88,100,11.59,overcast clouds
65,Matamoros,MX,25.5333,-103.25,73.11,40,96,7.81,overcast clouds
66,Busselton,AU,-33.65,115.3333,70.05,46,4,4.5,clear sky
67,Toguchin,RU,55.2353,84.3858,22.19,89,100,17.67,overcast clouds
68,Dunda,TZ,-8.1167,34.25,68.0,61,6,2.98,clear sky
69,Coahuayana,MX,18.7333,-103.6833,76.01,88,26,1.63,scattered clouds
70,Nuuk,GL,64.1835,-51.7216,36.21,93,90,66.75,light snow
71,Beisfjord,NO,68.3751,17.5988,34.25,94,90,8.12,light snow
72,Roi Et,TH,15.75,103.75,67.87,71,16,17.47,few clouds
73,Krasnovishersk,RU,60.4078,57.082,4.71,99,100,2.91,overcast clouds
74,Novaya Igirma,RU,57.1334,103.9112,7.74,97,67,2.21,broken clouds
75,Paamiut,GL,61.994,-49.6678,35.55,85,100,46.62,moderate rain
76,Bonga,ET,7.2833,36.2333,55.89,78,5,2.26,clear sky
77,Siniscola,IT,40.5719,9.6922,58.55,88,93,7.43,overcast clouds
78,Cidreira,BR,-30.1811,-50.2056,64.83,68,0,8.41,clear sky
79,Albany,US,42.6001,-73.9662,28.74,66,1,3.0,clear sky
80,Port Elizabeth,ZA,-33.918,25.5701,56.1,72,94,8.84,light rain
81,Imbituba,BR,-28.24,-48.6703,72.82,75,87,11.41,overcast clouds
82,Pangkalanbuun,ID,-2.6833,111.6167,75.27,96,100,2.55,overcast clouds
83,Pangnirtung,CA,66.1451,-65.7125,22.62,91,100,12.17,snow
84,Kalmunai,LK,7.4167,81.8167,76.8,87,100,8.25,overcast clouds
85,Kannur,IN,11.8675,75.3576,75.7,89,71,5.95,broken clouds
86,Noyabrsk,RU,63.1994,75.4507,7.23,95,99,9.37,overcast clouds
87,Lengshuitan,CN,26.4111,111.5956,50.68,61,100,1.39,overcast clouds
88,Bathsheba,BB,13.2167,-59.5167,79.36,84,88,12.59,overcast clouds
